tweets,label
 14 crore ke project ko banaa ke 14 arab khaa gaye awaam ke aur Imran Khan burai bhi na karay. ,H
 Abhi bari hojao phir siyasat ki baat karna ,H
 Allah aap ko sehat zindagi dy taky aap choron ki ghulami mai guzarien ... ,H
 antiii bhaii full gussy m h,H
 Beshak bahar se parh ke aaya ho lekin bilawal karne wahi aaya hai jo uske abba jee ne kia.,H
" hum  hai fb Jemee Usman kay king hum se, panga Jemee Usman na lya karo ye Mohsin Shoukat ka bot hai",H
 Imran khan ney kiya kiya apnay national television pe hi pathar marwa deay ,H
 inka sar oraya jaye dosra asla par pabandi lagaya jae jis ke paas asla he wo wajeb ul qatal hoga,H
 lahoriiii burger Soja beta apka time hogya. Sone se pehle abbu se puchlena.,H
 Lannat beshamarGo Qamar Bajwa goGo cheap justice goGo niazi go,H
 wardi walon ki baat karta hai wardi walay becharay to sipahi hain jo har waqt order ki ghulam hota hain agar un wardi walon ko aaj order diya jaye ke poora Karachi mein dehshat pilaaye aur har taraf khoon khraba karoon to wardi wala becharay to aur kuch nahi karsaktha hai hum un fsadyon ki mukhalif hai jinhon ne yeh pak wardi hamesha ghalat istemaal kya ha,H
 Ye to lol Ho Giya.,H
 afghnadostan namak haraam saag khoor gando koom,H
 pure desh ko motar peny wali Qom ka b pta ha Kya oqat ha in ki,H
 Tum Jaise chirkut Aaj is chunauti de rahe ho nakshe se Kya nakshe mein dhundhne se bhi nahin milega itihaas mein tha ya nahin Jay Hind ram ram,H
""" Ye banda kyu Horn Porn Baja Raha hay",H
"""mister tuk tuk"" ke naam se janey jaaney waley misbah ul haq qoumi cricket team ko jaarhiyat ka sabaq parhayen gey",H
* Jin LOgo Nay Dhandli Ki Thy Unhy Sary Amm Phansi Di Jahy,H
*Itni itni pyari sarkein bnayi hain * bat pta kya hai k  Nawaz ki hukoomat aik sarkein bnane me to specialist smjhi jatin thin mgr afsoos ki bat yh k wo bhi substandard nikli k doob gyin barish meHaan har mulk me asi barish ho to pani ikatha hojata pr yh log to sarkon k specialist thy  khair yh bat to alg hai,H
.. ap q saath derahe hain pti ka?? Apko bhi dusri shadi karni hai??,H
.. Bhegey Honth.. Choli key peechey and etc etc ,H
..inko check kronzra,H
.Hum miss rubina ko chkma dia krty thy :-D,H
.muj sameth amary ukmran ankon k oty oy andy ah zuban othy oy gohngy ah kan othy oy behry ah..,H
:P me bhi tharki nhi hu,H
"1 kilo daal se hamarey 15 karkun guzarah kertay hein, hum ghaas bhi khaa saktey hein. Hamarey karkun PTI walon ki tarrah mummy daddy burger nahi hein",H
10 10 aurton ney ispar harassment ka ilzam lagaya huya hai,H
"10 foji shaheed ho gaye tweet nai aaya madam ka, baap k pait mein gas b ho jaye to qomi masla bna deti hai",H
10 saal tak awam ko 52 arab rupey ishteharaat pe laga ker bewakoof bananey wala naam nehaad khadim e aala bhi ye karnama seranjaam nahi de saka aur naha unki hakumat,H
100 kanjar marey thy to mera dost paida huwa tha,H
126 din ka mujra b he is me kia,H
"1953 ke baad pehli bar secretariat per hindustan ka jhanda lehraya gaya, kashmiriyon ne is per ehtijaj kiya",H
1971Me Pakistan ke do tukade kar diya indra gandhi ne usi Me se purvi Pakistan ko bangala desh ka name hai. Isi ko majbut seena kahate hai.,H
2 choor ...,H
2 din randi rona chalta rahey ga ab bc,H
2 dinon mein 50 logon ki halaakt ka zimmeydar k-electric hai,H
2 sarkari haspataalon ka imraaz e qalab ki munasib machinon se lais ambulance faraham kernay se inkaar siyasi inteqaam ki taazah misaal hai,H
2 weeks say kyunn nahiii araha haii dramaaaa ,H
"2% vote lenay wala molana fazal ur rehman kis moun se keh raha hai ke main hakumat ko giraney ja raha hun, ye bohut hairat angez baat hai",H
20 saal mein ye pata nah. laga sakay ke. good aur bed konse hain. awam ko chootya bana rakha he bad tareen mehengai se tawajah hataane ke liye ttp se mzakrat ka shosh_h chorra gaya he,H
2011 mein eik islam mukhalif shakhs ne firing ker ke 77 afraad ko qatal ker diya tha,H
2018 mein khawateen ke 20 hazaar ghareelu tashaddud ke cases samney aye,H
2020 tqabdeeli sarkar ke khaatmey ka saal hoga,H
21 ki 21 topon ki salami apki gaand main deni chahiay,H
22 crore awam tujhe nanga ker ke kutton ki tarah ghaseetey gi ager mulk torney ka socha bhi,H
26 january ko khalistani kutty bohut zyada khush ho rhy thy,H
2no ek he gandi nali ke kerry hy sali .bhai.,H
3 Arab dollars.?,H
